1,-841.395,-864.395,-864.395,-841.395,-864.395,-27.3839,0.989307,-14.1275,-6.18206,60.9946
2,-841.395,-865.207,-865.207,-842.207,-865.207,-28.1955,0.177711,-14.939,-6.99348,60.2218
3,-841.471,-864.685,-864.685,-841.685,-864.685,-27.6739,0.69928,-14.4174,-6.47178,60.7719
4,-842.246,-864.563,-864.563,-841.563,-864.563,-27.5518,0.82133,-14.2954,-6.34987,60.8628
5,-842.82,-865.031,-865.031,-842.031,-865.031,-28.0194,0.353721,-14.7632,-6.8182,60.2413
6,-840.178,-864.769,-864.769,-841.769,-864.769,-27.7584,0.614597,-14.5028,-6.5588,60.1939
7,-840.843,-863.921,-863.921,-840.921,-863.921,-26.9048,1.47028,-13.6427,-5.69223,60.9157
8,-842.915,-864.016,-864.016,-841.016,-864.016,-26.9775,1.40579,-13.6894,-5.71005,61.595
9,-846.672,-871.716,-871.716,-848.716,-871.716,-34.6564,-6.26541,-21.3436,-13.3366,54.7846
10,-847.753,-872.243,-872.243,-849.243,-872.243,-35.1587,-6.7581,-21.8153,-13.7741,55.3153
11,-847.809,-871.579,-871.579,-848.579,-871.579,-34.4697,-6.05983,-21.0967,-13.0224,56.9028
12,-848.121,-870.208,-870.208,-847.208,-870.208,-33.0682,-4.64694,-19.6587,-11.5438,59.1247
13,-850.593,-871.526,-871.526,-848.526,-871.526,-34.3481,-5.91255,-20.8929,-12.7266,58.6861
14,-841.768,-867.119,-867.119,-844.119,-867.119,-29.8962,-1.44343,-16.386,-8.15788,63.7973
15,-843.746,-864.811,-864.811,-841.811,-864.811,-27.5362,0.936285,-13.9626,-5.66231,66.3314
16,-842.274,-865.542,-865.542,-842.542,-865.542,-28.2103,0.284005,-14.5666,-6.18611,65.0914
17,-842.914,-866.247,-866.247,-843.247,-866.247,-28.8578,-0.341587,-15.1433,-6.68104,63.2156
18,-844.195,-866.935,-866.935,-843.935,-866.935,-29.4884,-0.95013,-15.7024,-7.15672,60.9308
19,-844.293,-867.588,-867.588,-844.588,-867.588,-30.0831,-1.52253,-16.2248,-7.59386,58.4772
20,-843.741,-866.605,-866.605,-843.605,-866.605,-29.0424,-0.459238,-15.1107,-6.39278,57.6072
21,-841.825,-867.673,-867.673,-844.673,-867.673,-30.052,-1.44622,-16.0463,-7.23973,54.7274
22,-841.267,-864.483,-864.483,-841.483,-864.483,-26.8046,1.82399,-12.7242,-3.82716,56.1874
23,-842.894,-863.384,-863.384,-840.384,-863.384,-25.6464,3.0052,-11.4904,-2.50097,55.6546
24,-840.511,-863.241,-863.241,-840.241,-863.241,-25.4453,3.22956,-11.2128,-2.12899,54.2649
25,-840.817,-866.081,-866.081,-843.081,-866.081,-28.226,0.472195,-13.9162,-4.73596,49.9895
26,-841.318,-863.152,-863.152,-840.152,-863.152,-25.2384,3.48342,-10.8502,-1.57137,51.5713
27,-840.415,-861.981,-861.981,-838.981,-861.981,-24.0078,4.73786,-9.54034,-0.160657,51.479
28,-840.152,-864.646,-864.646,-841.646,-864.646,-26.6136,2.15611,-12.066,-2.58326,47.6268
29,-841.554,-864.997,-864.997,-841.997,-864.997,-26.9045,1.88947,-12.2757,-2.68767,46.158
